num,energy,xmod,ymod
0,-0.967458,1.385719,0.594712
1,-0.854937,-0.616977,1.514911
2,-0.899938,-0.475668,-0.510248
3,-0.907874,-1.890302,0.374773
4,-0.896477,-1.285742,1.572694
5,-1.006884,0.967343,-0.242555
6,-0.831092,-2.620539,-0.905084
7,-0.930852,-0.340871,-0.866084
8,-0.846442,-0.167537,0.452625
9,-0.808293,0.657539,-2.226912
10,-0.926264,1.814525,-0.625917
11,-0.891135,-1.954556,0.004538
12,-0.897743,-0.405871,1.959985
13,-1.124582,0.128821,-0.551902
14,-1.111521,0.194448,-0.793336
15,-1.026375,-0.286719,-0.621666
16,-0.885877,-0.169373,0.290395
17,-0.804693,0.459281,-2.376294
18,-0.894936,1.308278,-1.308645
19,-0.874645,1.464279,-1.420609
20,-0.916187,0.632027,0.560672
21,-1.007612,-0.420238,0.307307
22,-1.112077,0.462503,-0.39325
23,-0.999136,1.181706,-0.872655
24,-1.05656,-1.038135,-0.551512
25,-0.951954,0.268287,-1.074701
26,-0.863515,0.140138,0.298416
27,-0.939466,0.867309,1.131624
28,-0.960184,-0.565993,-1.172384
29,-0.888163,-1.669108,0.086704
30,-0.894906,-0.381107,1.188162
31,-1.104459,0.352309,0.410038
32,-0.922752,1.324486,-0.233717
33,-0.862707,1.4767,0.069681
34,-0.937102,-1.313121,1.09055
35,-0.948183,0.071515,-0.739361
36,-0.94039,1.318677,0.860208
37,-0.853587,-1.449553,1.949357
38,-0.985724,-0.639507,-0.082883
39,-0.918037,-0.403479,-1.806319
40,-0.852518,-0.949331,-1.502243
41,-0.962532,-0.929085,-1.347798
42,-0.89994,-0.919893,-1.69735
43,-0.853489,1.15651,-2.20434
44,-0.975571,0.767606,0.808268
45,-0.8557,-1.038794,-1.277404
46,-0.898219,-1.174271,-1.780646
47,-0.8337,-1.456562,1.425487
48,-0.778034,1.22515,2.382468
49,-0.943909,1.688317,-0.267698
50,-0.919168,-0.528109,1.73704
51,-0.966341,-0.989254,0.702287
52,-0.878088,1.939734,0.617873
53,-0.849933,-0.338612,2.507109
54,-0.88477,-1.378724,-0.10124
55,-0.883615,0.081372,2.237634
56,-0.836136,0.807024,-1.177063
57,-0.803815,2.465202,-0.138191
58,-0.978266,1.54569,-0.393824
59,-0.976902,-0.41823,1.26291
60,-0.925711,1.822988,-0.640355
61,-0.947669,0.190681,1.036648
62,-0.850506,0.913943,-0.534726
63,-0.842114,0.229346,2.40343
64,-0.921832,-1.948631,0.066581
