num,energy,
0,-0.967458,1.669447633
1,-0.854937,2.519912045
2,-0.899938,2.121447895
3,-0.907874,2.061236298
4,-0.896477,2.14847594
5,-1.006884,1.449648537
6,-0.831092,2.789300539
7,-0.930852,1.899031133
8,-0.846442,2.609783095
9,-0.808293,3.113056502
10,-0.926264,1.930122095
11,-0.891135,2.191193891
12,-0.897743,2.138535874
13,-1.124582,0.788756786
14,-1.111521,0.901096314
15,-1.026375,1.348094627
16,-0.885877,2.234490837
17,-0.804693,3.172937093
18,-0.894936,2.160676107
19,-0.874645,2.33156451
20,-0.916187,2.00060294
21,-1.007612,1.445782908
22,-1.112077,0.607090535
23,-0.999136,1.491132782
24,-1.05656,1.196003368
25,-0.951954,1.763046936
26,-0.863515,2.434777729
27,-0.939466,1.842197151
28,-0.960184,1.712766163
29,-0.888163,2.215508958
30,-0.894906,2.160916503
31,-1.104459,0.583156164
32,-0.922752,1.954332398
33,-0.862707,2.442583269
34,-0.937102,1.857599053
35,-0.948183,1.78656986
36,-0.94039,1.83621457
37,-0.853587,2.533796035
38,-0.985724,1.564772655
39,-0.918037,1.987427179
40,-0.852518,2.544898927
41,-0.962532,1.698674221
42,-0.89994,2.121428786
43,-0.853489,2.534815417
44,-0.975571,1.622272995
45,-0.8557,2.512116689
46,-0.898219,2.134812803
47,-0.8337,2.757013815
48,-0.778034,3.75135441
49,-0.943909,1.813617793
50,-0.919168,1.979420749
51,-0.966341,1.676034447
52,-0.878088,2.301107432
53,-0.849933,2.572126838
54,-0.88477,2.243771492
55,-0.883615,2.253522459
56,-0.836136,2.727574167
57,-0.803815,3.188022158
58,-0.978266,1.606851597
59,-0.976902,1.614641868
60,-0.925711,1.933908838
61,-0.947669,1.789796676
62,-0.850506,2.566043319
63,-0.842114,2.657978131
64,-0.921832,1.960736986
65,-0.996923,1.503114005
66,-0.959443,1.71723485
67,-0.861811,2.451275615
68,-0.991809,1.531054532
69,-1.121569,0.652459894
70,-0.885317,2.239178781
71,-0.834921,2.742173797
72,-0.8479,2.593928747
73,-1.071866,1.119324707
74,-1.093057,1.009507272
75,-0.999373,1.489851875
76,-1.058574,1.185943177
77,-1.042962,1.26403805
78,-1.099716,0.97273035
79,-0.894289,2.165826566
80,-0.844795,2.627922932
81,-0.87396,2.337704108
82,-0.898617,2.131707056
83,-1.108618,0.919841153
84,-0.892133,2.183119313
85,-1.041033,1.273734607
86,-0.885049,2.241426483
87,-0.800564,3.245559904
88,-0.828146,2.826759221
89,-0.820744,2.925994573
90,-0.815648,2.999173703
91,-0.894727,2.162335313
92,-0.825428,2.862303049
93,-0.757721,4.566033593
94,-0.859713,2.471862395
95,-1.111937,0.898326091
96,-1.126748,0.740494041
97,-0.865388,2.416877359
99,-0.979264,1.601165499
100,-1.094438,1.002016938
101,-0.943019,1.819304338
102,-0.972743,1.638587473
103,-0.885826,2.234917653
104,-1.039316,1.282381677
105,-0.864704,2.423382107
106,-0.921803,1.960937103
107,-0.781475,3.657735328
108,-0.943884,1.813775004
109,-0.84772,2.595879365
110,-0.968817,1.661464943
111,-0.95554,1.740968592
112,-0.812983,3.039228161
113,-0.974936,1.625923003
114,-0.963491,1.69294772
115,-0.951439,1.76624055
116,-0.820045,2.935782125
117,-1.096317,0.991718899
118,-0.800694,3.243201065
119,-0.795039,3.350347088
120,-0.825561,2.860546177
121,-0.87225,2.353145682
122,-1.081101,1.072343871
123,-1.101747,0.575946068
124,-1.071779,1.119765823
125,-0.845319,2.622121662
126,-1.102334,0.957721746
127,-0.874612,2.331858804
128,-0.934586,1.874150423
129,-0.783486,3.606476932
130,-1.039412,1.281897464
131,-0.784569,3.579835764
132,-0.789493,3.466099983
133,-0.861324,2.456029859
134,-1.033215,1.313227498
135,-0.872258,2.353071855
136,-0.944773,1.808111675
137,-1.111167,0.903441501
138,-1.039691,1.280493633
139,-0.89941,2.125536412
140,-0.949946,1.775529324
141,-0.957446,1.729336261
142,-0.838305,2.701895714
143,-1.002891,1.470937609
144,-0.810326,3.080502378
145,-0.844643,2.629605658
146,-0.831084,2.789401006
147,-1.033616,1.31119263
148,-0.954495,1.747373055
149,-0.924542,1.941947187
150,-0.931276,1.896184505
151,-0.948126,1.786924232
152,-1.032089,1.318946587
153,-0.908947,2.053271483
154,-1.091449,1.018155005
155,-0.805139,3.165357538
156,-0.855244,2.516770826
157,-0.909993,2.045547797
158,-0.957407,1.729575411
159,-0.912522,2.027039826
160,-0.85404,2.529121292
162,-0.854397,2.525446375
163,-0.872351,2.352226031
164,-0.85552,2.513956822
165,-0.941363,1.82993241
166,-0.935649,1.867135803
167,-0.972278,1.641281959
168,-0.809186,3.098646755
169,-0.861671,2.452644757
170,-0.997896,1.497840521
171,-0.781374,3.660377821
172,-0.886403,2.230102138
173,-1.089449,1.028809558
174,-1.07779,1.089295082
175,-0.932483,1.888116148
176,-0.984789,1.570000056
177,-0.932279,1.889476107
178,-0.944404,1.810461234
179,-0.808512,3.10950017
180,-0.926822,1.92630902
181,-0.85958,2.473183518
182,-0.853642,2.533231236
183,-0.860762,2.461533723
184,-1.056541,1.196098844
185,-0.895038,2.159864414
186,-0.897579,2.139815395
187,-0.802443,3.211960988
188,-0.89819,2.135036992
189,-1.091153,1.01974254
190,-0.960546,1.710588361
191,-0.907919,2.06089709
192,-0.76889,4.047804604
193,-0.865221,2.418456596
194,-0.973796,1.632497635
195,-1.106212,0.934708017
196,-0.930097,1.904105812
197,-0.821782,2.911603999
198,-0.826951,2.842259535
199,-0.826442,2.848923962
200,-0.829145,2.813922877
201,-0.973795,1.632504247
202,-0.987256,1.556234738
203,-0.93558,1.867591134
204,-0.853478,2.534929078
205,-1.065986,1.148876302
206,-0.985784,1.564437651
207,-0.985726,1.564762443
208,-0.879421,2.289483557
210,-0.859576,2.473218323
211,-0.871461,2.360325342
212,-0.857774,2.491165116
213,-0.853492,2.534785531
214,-1.096312,0.991743732
215,-0.814955,3.009454503
216,-1.126633,0.746539814
217,-0.829876,2.804619614
219,-0.944254,1.811417353
220,-0.880218,2.282575999
221,-0.945355,1.804415182
222,-1.084354,1.055532262
223,-1.033463,1.311971013
224,-0.870888,2.36556992
225,-0.931963,1.89158727
226,-0.831191,2.788054545
227,-1.092734,1.011252355
228,-0.789519,3.465516982
229,-0.935464,1.868355597
230,-0.910807,2.03957162
231,-1.007744,1.445087441
232,-0.814915,3.010059158
233,-0.845524,2.619866005
234,-0.861236,2.456892663
235,-1.125235,0.68563822
236,-0.974828,1.626545034
237,-1.122242,0.816346142
238,-1.026783,1.346003839
239,-0.982775,1.581308732
240,-0.84014,2.680555013
241,-0.966503,1.675081559
242,-1.060146,1.178093315
243,-0.832722,2.769033168
244,-0.885414,2.238365475
245,-0.935803,1.86612421
246,-0.917628,1.990330527
247,-0.919354,1.978108194
248,-1.029461,1.33232588
249,-0.997976,1.497406511
250,-0.788385,3.490689425
251,-0.839706,2.685573806
252,-0.819527,2.943084637
