num,energy,x,y,z,x,y,z
312,-1.126825,0.987738,1.2447,1.045707,0.29272,1.175784,1.250942
373,-1.126816,2.172931,0.735092,0.693546,2.851748,0.566663,0.88796
729,-1.12679,1.223503,1.425069,1.088103,0.926261,2.09962,1.09234
96,-1.126748,2.187044,1.456964,1.419285,2.644033,1.081104,1.864506
359,-1.126742,2.020801,1.692778,1.687032,1.383353,1.990299,1.454568
739,-1.126741,2.129586,2.054972,1.952689,2.725981,1.920703,1.573856
348,-1.126731,0.952271,1.400702,1.911002,1.148313,1.879808,2.442003
216,-1.126633,1.554803,1.420694,0.388126,1.394534,1.922714,0.916909
347,-1.126578,2.225363,1.704177,0.212293,1.506211,1.538167,0.338361
316,-1.126499,2.613839,0.703518,1.850854,2.891085,1.126896,2.34781
741,-1.126465,0.156182,0.774317,1.949252,0.145481,0.058267,2.181113
276,-1.126421,0.738906,1.949167,2.51325,0.41329,1.681057,1.945846
516,-1.125861,1.923247,0.610073,0.691153,1.646413,0.230358,1.298243
235,-1.125235,1.998379,0.842543,0.404217,2.490736,0.433516,0.158491
302,-1.124866,0.621882,1.740624,2.183339,1.010063,1.968902,2.694229
733,-1.124842,0.684807,0.866428,2.721247,1.082072,0.471402,2.171327
13,-1.124582,1.562534,1.667419,1.308278,1.691355,1.115517,1.856864
770,-1.124358,0.849334,2.209618,1.95508,1.27649,1.552103,1.844696
463,-1.124119,2.467284,1.472778,1.14667,2.82094,1.565654,0.440808
530,-1.123469,1.207417,2.293226,0.332903,1.578641,1.739191,0.324337
842,-1.122361,2.655425,2.134846,2.693311,2.674458,1.896222,1.914138
237,-1.122242,0.675823,1.864066,1.987054,0.44497,2.59522,1.706801
370,-1.122023,1.809088,0.018658,1.217703,1.318309,0.364124,1.774363
69,-1.121569,1.22848,0.12931,2.227085,0.59145,0.26813,2.202071
635,-1.121073,0.833855,0.492024,2.454225,1.560872,0.657625,2.094592
362,-1.120917,1.320249,1.135718,0.614593,0.603593,1.550729,0.571021
983,-1.120666,1.62999,0.28514,1.161836,1.09293,0.919955,1.174496
902,-1.120273,1.263833,2.110397,0.549423,0.532728,2.244057,0.168455
969,-1.120149,1.169812,2.576737,2.318919,1.954012,2.618825,2.606346
697,-1.119874,2.027549,2.730096,2.210774,2.021227,2.579842,1.385666
