num,energy,dist,dist
734,-75.965739,1.042214499,1.441129786
803,-75.964087,0.919969123,1.320825949
394,-75.961694,0.944764746,1.303997862
711,-75.957513,0.977399975,1.289519566
324,-75.951841,0.850374579,1.294057543
689,-75.951746,0.995915225,1.263505099
164,-75.948912,1.060735734,1.320437161
795,-75.947641,1.022925687,1.261641376
717,-75.944866,1.135160074,1.432770182
4,-75.94314,1.054896386,1.269345652
321,-75.941148,1.092794695,1.312560188
519,-75.941065,1.098328391,1.321562429
107,-75.938725,1.100604026,1.307377995
539,-75.938207,1.160747263,1.430452449
727,-75.935948,1.086288403,1.263644133
453,-75.928048,1.145490309,1.307397433
388,-75.92799,1.18325298,1.388591234
819,-75.919521,0.897392947,1.068342689
527,-75.91793,1.242174746,1.445768342
125,-75.91636,1.22641451,1.388032619
712,-75.913854,0.91673139,1.035389029
930,-75.909694,1.179114068,1.232963092
737,-75.908703,1.243893422,1.36172789
459,-75.908647,1.324080028,1.619958617
372,-75.908595,1.138439381,1.158221146
46,-75.906218,1.323729717,1.579912771
821,-75.905499,1.039889688,1.030815484
67,-75.904951,1.290204684,1.449326094
177,-75.904403,1.309016216,1.502020457
766,-75.904254,0.844399438,1.044569965
157,-75.901667,1.205559777,1.223355376
562,-75.900031,1.048406313,1.009013279
415,-75.898439,1.31561001,1.455457213
533,-75.896946,1.084224708,1.023236638
736,-75.896803,0.774016927,1.159398208
142,-75.89511,1.132062846,1.065594805
375,-75.894226,1.392710133,1.705480435
360,-75.892765,1.336702427,1.45771032
978,-75.891713,1.396524985,1.673967751
117,-75.890373,1.034977667,0.952694479
617,-75.89033,0.914855049,0.935921878
468,-75.890051,1.407237027,1.699775882
405,-75.888122,1.321606706,1.368714829
769,-75.886635,0.959278587,0.914298314
841,-75.88564,1.427693852,1.724665688
944,-75.884484,1.288296613,1.257905467
593,-75.884387,1.081661188,0.955035562
389,-75.882085,1.363195714,1.422337004
170,-75.880043,1.429679386,1.627366937
325,-75.878941,1.115964303,0.956392349
410,-75.876358,1.467193082,1.754621765
295,-75.876125,1.357907557,1.349025179
697,-75.871907,1.08305867,0.894859812
579,-75.871846,1.254180783,1.095127132
355,-75.871153,0.998674288,0.856428826
442,-75.86709,1.265622647,1.080275282
115,-75.866401,0.856918455,0.885659775
55,-75.862904,1.273274179,1.062699927
332,-75.861669,1.332271374,1.16378392
470,-75.859121,1.401308839,1.297417613
421,-75.855617,1.155801373,0.869657872
163,-75.855215,1.497976297,1.53544879
129,-75.85375,1.487163849,1.480936972
690,-75.852391,1.523970575,1.59140828
979,-75.850833,1.409022781,1.237863966
882,-75.84886,1.569118285,1.731594696
134,-75.848713,1.549254253,1.636295432
92,-75.848329,1.529639018,1.554873475
510,-75.847502,1.455641561,1.32136231
63,-75.846744,1.591197379,1.813817272
765,-75.843913,1.43012018,1.221991706
838,-75.84202,1.14112006,0.795764407
367,-75.842,0.967319564,0.755503236
881,-75.840279,1.614368664,1.795154083
656,-75.838804,1.19366168,0.815962135
165,-75.83815,1.461915533,1.242133256
426,-75.834545,1.592515849,1.588638011
126,-75.832645,1.574149445,1.497728439
943,-75.831228,1.667025637,1.908438229
258,-75.829743,1.318813411,0.889865615
118,-75.829553,0.998861742,0.71722157
959,-75.829461,1.6415635,1.707733212
995,-75.82868,1.400919952,1.014373064
387,-75.82805,1.502786696,1.239249714
525,-75.82805,1.673250887,1.851091714
921,-75.827829,1.52508618,1.295394865
847,-75.825996,0.887381614,0.740244641
629,-75.82568,1.649049596,1.672449273
991,-75.823306,1.013149049,0.700119272
368,-75.823182,1.414445253,0.989044677
42,-75.822814,1.688186893,1.80670058
272,-75.822754,1.674856671,1.73514693
684,-75.820681,1.675836396,1.699715749
320,-75.820597,0.710610731,1.07440384
906,-75.81895,1.69679516,1.765247805
147,-75.817598,1.178480222,0.719801106
673,-75.817545,1.652396921,1.555645713
751,-75.81728,1.736036709,1.998919072
999,-75.816166,1.722609163,1.843689867
150,-75.815948,1.297187402,0.783189093
398,-75.815094,1.728097813,1.849135487
699,-75.814949,1.380491937,0.863381716
496,-75.814826,1.59537959,1.338282495
399,-75.814246,1.709094697,1.728416235
130,-75.81352,1.462250816,0.98756339
523,-75.812267,1.597248666,1.311735988
306,-75.811412,1.117061808,0.681396421
467,-75.810189,1.371797515,0.819565996
508,-75.810096,1.563565293,1.191568054
229,-75.808812,1.382441037,0.822090762
964,-75.80854,1.426207148,0.876144296
909,-75.808224,1.726379837,1.690840425
189,-75.807445,1.679217128,1.500801173
243,-75.807093,1.479049075,0.953410807
931,-75.806694,1.757609413,1.808473624
787,-75.806331,1.297276706,0.738004642
894,-75.805747,1.302474595,0.738720564
338,-75.804138,1.776639762,1.852419727
703,-75.803874,1.695136548,1.502355456
39,-75.803102,0.837979887,0.724193545
315,-75.802903,1.305635967,0.728594042
560,-75.802892,1.654398947,1.358212014
700,-75.802406,1.680699248,1.433568959
143,-75.802337,1.806666779,2.024988111
